GPU: 0,1,2,3
Loading path...
Save name: demo
Save best test: False
Save later: False
Loading dataset...
Group length: 1
DataSet: PACS
Source domain: ['art_painting', 'cartoon', 'photo']
Target domain: ['sketch']
Known classes: ['dog', 'elephant', 'giraffe', 'guitar', 'horse', 'house', 'person']
Unknown classes: []
Batch size: 16
Number of task(domain): 3
Number of task(class): 3
Tasks per step: [3, 3, 3]
CrossVal: True
Loading models...
Model wrapped with nn.DataParallel for 4 GPUs.
为扩散模型创建了 SGD 优化器，学习率: 0.0001。
Network: resnet18
Number of epoch: 6000
Optimize method: SGD
Learning rate: 0.0002
Meta learning rate: 0.01
Without close set classifier: False
Without binary classifier: False
Share Parameter: False
Start training...
Loading pre-trained weights from: ./experiment/model/val/pacs_resnet18.tar
Loaded state_dict with strict=False. Found 80 missing keys (expected for diffusion model).
Freezing feature extractor (net.net)...
Extracting target weights for diffusion model training...
Start training diffusion models...
Epoch [384/6000], Average Denoising Loss: 2.0073
Epoch [385/6000], Average Denoising Loss: 1.9879
Epoch [386/6000], Average Denoising Loss: 2.0166
Epoch [387/6000], Average Denoising Loss: 2.0094
Epoch [388/6000], Average Denoising Loss: 1.9859
Epoch [389/6000], Average Denoising Loss: 2.0149
Epoch [390/6000], Average Denoising Loss: 2.0219
Epoch [391/6000], Average Denoising Loss: 2.0014
Epoch [392/6000], Average Denoising Loss: 2.0273
Epoch [393/6000], Average Denoising Loss: 2.0218
Epoch [394/6000], Average Denoising Loss: 1.9826
Epoch [395/6000], Average Denoising Loss: 2.0100
Epoch [396/6000], Average Denoising Loss: 1.9943
Epoch [397/6000], Average Denoising Loss: 1.9819
Epoch [398/6000], Average Denoising Loss: 2.0055
Epoch [399/6000], Average Denoising Loss: 1.9863
Epoch [400/6000], Average Denoising Loss: 1.9880
Epoch [401/6000], Average Denoising Loss: 2.0248
Epoch [402/6000], Average Denoising Loss: 2.0109
Epoch [403/6000], Average Denoising Loss: 1.9977
Epoch [404/6000], Average Denoising Loss: 2.0036
Epoch [405/6000], Average Denoising Loss: 2.0000
Epoch [406/6000], Average Denoising Loss: 2.0529
Epoch [407/6000], Average Denoising Loss: 2.0127
Epoch [408/6000], Average Denoising Loss: 1.9814
Epoch [409/6000], Average Denoising Loss: 1.9992
Epoch [410/6000], Average Denoising Loss: 1.9826
Epoch [411/6000], Average Denoising Loss: 2.0065
Epoch [412/6000], Average Denoising Loss: 2.0100
Epoch [413/6000], Average Denoising Loss: 1.9953
Epoch [414/6000], Average Denoising Loss: 2.0001
Epoch [415/6000], Average Denoising Loss: 1.9900
Epoch [416/6000], Average Denoising Loss: 1.9930
Epoch [417/6000], Average Denoising Loss: 2.0112
Epoch [418/6000], Average Denoising Loss: 1.9989
Epoch [419/6000], Average Denoising Loss: 2.0174
Epoch [420/6000], Average Denoising Loss: 1.9963
Epoch [421/6000], Average Denoising Loss: 1.9927
Epoch [422/6000], Average Denoising Loss: 1.9706
Epoch [423/6000], Average Denoising Loss: 1.9896
Epoch [424/6000], Average Denoising Loss: 1.9783
Epoch [425/6000], Average Denoising Loss: 1.9793
Epoch [426/6000], Average Denoising Loss: 1.9828
Epoch [427/6000], Average Denoising Loss: 2.0121
Epoch [428/6000], Average Denoising Loss: 2.0115
Epoch [429/6000], Average Denoising Loss: 1.9860
Epoch [430/6000], Average Denoising Loss: 1.9967
Epoch [431/6000], Average Denoising Loss: 2.0015
Epoch [432/6000], Average Denoising Loss: 1.9930
Epoch [433/6000], Average Denoising Loss: 1.9926
Epoch [434/6000], Average Denoising Loss: 2.0042
Epoch [435/6000], Average Denoising Loss: 1.9833
Epoch [436/6000], Average Denoising Loss: 1.9894
Epoch [437/6000], Average Denoising Loss: 2.0102
Epoch [438/6000], Average Denoising Loss: 2.0133
Epoch [439/6000], Average Denoising Loss: 2.0091
Epoch [440/6000], Average Denoising Loss: 2.0142
Epoch [441/6000], Average Denoising Loss: 1.9960
Epoch [442/6000], Average Denoising Loss: 1.9979
Epoch [443/6000], Average Denoising Loss: 2.0096
Epoch [444/6000], Average Denoising Loss: 2.0032
Epoch [445/6000], Average Denoising Loss: 2.0056
Epoch [446/6000], Average Denoising Loss: 1.9955
Epoch [447/6000], Average Denoising Loss: 2.0262
Epoch [448/6000], Average Denoising Loss: 2.0246
Epoch [449/6000], Average Denoising Loss: 2.0044
Epoch [450/6000], Average Denoising Loss: 1.9962
Epoch [451/6000], Average Denoising Loss: 1.9907
Epoch [452/6000], Average Denoising Loss: 1.9767
Epoch [453/6000], Average Denoising Loss: 1.9833
Epoch [454/6000], Average Denoising Loss: 1.9877
Epoch [455/6000], Average Denoising Loss: 2.0130
Epoch [456/6000], Average Denoising Loss: 1.9987
Epoch [457/6000], Average Denoising Loss: 2.0293
Epoch [458/6000], Average Denoising Loss: 1.9832
Epoch [459/6000], Average Denoising Loss: 1.9817
Epoch [460/6000], Average Denoising Loss: 1.9875
Epoch [461/6000], Average Denoising Loss: 2.0005
Epoch [462/6000], Average Denoising Loss: 2.0297
Epoch [463/6000], Average Denoising Loss: 2.0112
Epoch [464/6000], Average Denoising Loss: 1.9756
Epoch [465/6000], Average Denoising Loss: 2.0039
Epoch [466/6000], Average Denoising Loss: 1.9964
Epoch [467/6000], Average Denoising Loss: 1.9845
Epoch [468/6000], Average Denoising Loss: 2.0107
Epoch [469/6000], Average Denoising Loss: 2.0020
Epoch [470/6000], Average Denoising Loss: 2.0012
